id,zoho_name,cmrr_name,install_name,domain
538,Maharani Dall Mill Contractors Sri Maharani Dall Producers (Tenali Double Horse),Maharani Dall Mill Contractors Sri Maharani Dall Producers (Tenali Double Horse),MAHARANI DALL MILL,tenalidoublehorse
539,Mahashakti Soap & Chemical Ind. Pvt. Ltd.,Mahashakti Soap & Chemical Ind. Pvt. Ltd.,Mahashakti Soap & Chemical Ind. Pvt. Ltd.,mahashakti
540,Mahesh Edible Oils Products Private Limited,Mahesh Edible Oils Products Private Limited,Mahesh Edible Oils Products Private Limited,saavli
541,Mahindra Summit Agriscience Limited,Mahindra Summit Agriscience Limited,mahindracropcare,mahindracropcare
542,Mahindra Summit Agriscience Limited,Mahindra Summit Agriscience Limited,mahindra seeds,mahindraseeds
543,Manjilas Food Tech Pvt Ltd,Manjilas Food Tech Pvt Ltd,Manjilas,doublehorse
544,Mankind Pharma Limited,Mankind Consumer Products Private Limited,Mankindpharma Limited.,mankindpharma
545,Mankind Pharma Limited,Mankind Consumer Products Private Limited,mankind pharma pvt ltd,mankindrxmt
546,Mankind Pharma Limited,Mankind Consumer Products Private Limited,mankindmoderntrade,mankindmoderntrade
547,Mankind Pharma Limited,Mankind Consumer Products Private Limited,Mankind PET star,mankindpetstar
548,Mankind Consumer Products Private Limited,Mankind Pharma Limited (Agritech),Mankindpharma Limited.,mankindpharma
549,Mankind Prime Labs Private Limited,Mankind Prime Labs Private Limited,Mankind Prime Labs Pvt Ltd,primemankind
550,Mapro Foods Private Limited,Mapro Foods Private Limited,mapro,mapro
551,Mapro Foods Private Limited,Mapro Foods Private Limited,falero,falero
552,Mapro Foods Private Limited,Mapro Foods Private Limited,maprohoreca,maprohoreca
553,Mapro Foods Private Limited,Mapro Foods Private Limited,mapromt,mapromt
554,Marino Food Products Private Limited,Marino Food Products Private Limited,marino,marino
555,Mars International India Private Limited,Mars International India Private Limited,Drishti,drishti
556,Mars International India Private Limited,Mars International India Private Limited,Mars,mars
557,Mars International India Private Limited,Mars International India Private Limited,Mars Merchandising,marsmerchandising
558,Mars International India Private Limited,Mars International India Private Limited,Mars,mars
559,Marvelle Health Care Private Limited.,Marvelle Health Care Private Limited,MARVELLE HEALTH CARE PRIVATE LIMITED,marvellehealthcare
560,Mascot International Private Limited,Mascot International Private Limited,Mascot International Pvt Ltd,mascot
561,Mavee Foods,Mavee Foods,Mavee Foods Private Limited,maveefoods
562,Mawana Foods Private Limited,Mawana Foods Private Limited,Mawana Foods Pvt Ltd,mawana
563,Maxvita Foods India Private Limited,Maxvita Foods India Private Limited,Maxvita Foods India Pvt. Ltd,maxvitafoods
564,Me n Moms Private Limited,Me n Moms Private Limited,Me N Moms Pvt. Ltd,menmoms
565,Megha Fruit Processing Private Limited,Megha Fruit Processing Private Limited,Megha Fruit Processing Private Limited,bindu
566,Merino Industries Limited,Merino Industries Limited,Merino India,merinoindia
567,Merino Industries Limited,Merino Industries Limited,Merino India,merinoindia
568,Methods Automotive Private Limited,Methods Automotive Private Limited,METHODS AUTOMOTIVE PRIVATE LIMITED,methodsautomotive
569,Micks Products LLP,Micks Products LLP,Micks Products LLP,micksfoods
570,Midas Hygiene Industries Private Limited,Midas Hygiene Industries Private Limited,midas hygiene ind (p) limited,midashygiene
571,Milk Mantra Dairy Private Limited,Milk Mantra Dairy Private Limited,Milk Mantra Dairy Private Limited,milkmantra
572,MilkLane Dairy Services Private Limited,MilkLane Dairy Services Private Limited,MilkLane Dairy Services Private Limited,milklane
573,MilkLane Dairy Services Private Limited,MilkLane Dairy Services Private Limited,Milklane Dairy Services PVT LTD,innoterra
574,Mimansa Industries Private Limited,Mimansa Industries Private Limited,bakersdozen,bakersdozen
575,Mimansa Industries Private Limited,Mimansa Industries Private Limited,Mimansa Industries Private Limited,thebakersdozen
576,Mimansa Industries Private Limited,Mimansa Industries Private Limited,Mimansa Industries PVT LTD,bakers-dozen
577,Mjengo Limited,Mjengo Limited,Mjengo Limited,mjengo
578,Mondelez India Foods Private Limited (ONDC),ONDC,ONDC,ondc
579,Mondelez India Foods Private Limited (ONDC),ONDC,,
580,Monica Products (Gloria Ice Cream),Monica Products (Gloria Ice Cream),Monica Products,gloria
581,Monica Products (Gloria Ice Cream),Monica Products (Gloria Ice Cream),Monica Products,gloria
582,Moon Beverages Limited,Moon Beverages Limited,Moon Beverages Limited,mbl
583,Moonfreeze Foods Private Limited,Moonfreeze Foods Private Limited,Moonfreeze Foods Private Limited,themoonsales
584,Morton Foods Limited,Morton Foods Limited,Allahabad Canning Limited,mortonindia
585,Morton Foods Limited,Morton Foods Limited,Allahabad Canning Limited,mortonindia
586,Morton Foods Limited,Morton Foods Limited,Allahabad Canning Limited,mortonindia
587,Mother and Babycare Inc. (PAN Healthcare),Mother and Babycare Inc. (PAN Healthcare),PAN Healthcare,panhealth
588,Mother Dairy Fruit & Vegetable Private Limited,Mother Dairy Fruit & Vegetable Private Limited,motherdairy,motherdairy
589,Mother Sparsh Baby Care Private Limited,Mother Sparsh Baby Care Private Limited,MOTHER SPARSH BABY CARE PRIVATE LIMITED,mothersparsh
590,Mrs. Bectors Food Specialities Limited (EO Sales),Mrs. Bectors Food Specialities Limited,Mrs. Bectors Food Specialities - English Oven,eosales
591,Mrs. Bectors Food Specialities Limited (EO Sales),Mrs. Bectors Food Specialities Limited,englishoven,englishoven
592,Mrs. Bectors Food Specialities Limited (EO Sales),Mrs. Bectors Food Specialities Limited,Mrs. Bectors Food Specialities - English Oven,eosales
593,Mrs. Bectors Food Specialities Limited (EO Sales),Mrs. Bectors Food Specialities Limited,Mrs. Bectors Food Specialities - English Oven,eosales
594,Tube Investments of India Limited,Tube Investments of India Limited,macho tmt,timachotmt
595,Tube Investments of India Limited,Tube Investments of India Limited,ticycles,ticycles
596,Tube Investments of India Limited,Tube Investments of India Limited,TIDC India,tidcauto
597,Mysoredeep Perfumery House,Mysoredeep Perfumery House,Mysore deep perfumery House,mdphzb
598,Mzuri Sweets Limited,Mzuri Sweets Limited,Mzuri Sweets Limited,mzurisweets
599,Naga Limited,Naga Limited,NAGA LIMITED - 1,nagafoods
600,Naga Limited,Naga Limited,NAGA LIMITED - 2,nd2r
601,Naga Limited,Naga Limited,Naga Limited,nagamills
602,Nambisans Dairy Private Limited,Nambisans Dairy Private Limited,Nambisan’s Dairy Private Limited,nambisans
603,Nandan Petrochem Ltd,Nandan Petrochem Ltd,Nandan Petrochem Limited,velvex
604,Narang Access Private Limited,Narang Access Private Limited,Narang Access PVT LTD - General Trade,mtnarang
605,Narang Access Private Limited,Narang Access Private Limited,Narang Access PVT LTD - General Trade,nda
606,Narang Access Private Limited,Narang Access Private Limited,mtnarang,mtnarang
607,Narang Access Private Limited,Narang Access Private Limited,narangop,narang
608,Narang Access Private Limited,Narang Access Private Limited,narangmt,narangmt
609,Narang Access Private Limited,Narang Access Private Limited,ndabuzz,ndabuzz
610,Narang Access Private Limited,Narang Access Private Limited,mtnarang,mtnarang
611,Narang Access Private Limited,Narang Access Private Limited,Narang Access PVT LTD - General Trade,nda
612,Narang Access Private Limited,Narang Access Private Limited,Narang Access PVT LTD - General Trade,nda
613,Narang Access Private Limited,Narang Access Private Limited,Narang Access PVT LTD - General Trade,nda
614,Narang Access Private Limited,Narang Access Private Limited,Narang Access PVT LTD - General Trade,narang
615,Narang Access Private Limited,Narang Access Private Limited,narangservicing,narangservicing
616,Naturell India Private Limited,Naturell India Private Limited,naturell,naturell
617,Naturell India Private Limited,Naturell India Private Limited,naturell,naturell
618,Naturise Consumer Products Private Limited,Naturise Consumer Products Private Limited,Naturise Consumer Products Private Limited,naturise
619,Nav Shikha Polypack Industries Private Limited,Nav Shikha Polypack Industries Private Limited,Polypack,polypack
620,Navabharat Limited,Navabharat Limited,Navabharat Limited,navabharat
621,Nebico Limited,Nebico Limited,NEBICO,nebico
622,Network Electronics LLC (Nippotec),Network Electronics LLC (Nippotec),NGLGroup UAE,nippotec
623,Network Electronics LLC (Nippotec),Network Electronics LLC (Nippotec),NGLGroup UAE,nippotec
624,New Vinco Corporation,New Vinco Corporation,NEW VINCO CORPORATION,vincos
625,Nirmal Polyplast Private Limited,Nirmal Polyplast Private Limited,Nirmal Poly Plast Pvt Ltd,nirmalpolyplast
626,Nureca Limited,Nureca Limited,Nureca Limited,nureca
627,Nutralife Foods LLP,Nutralife Foods LLP,Heeva,heeva
628,Nutriglow GBL Lifesciences Pvt. Ltd.,Nutriglow GBL Lifesciences Pvt. Ltd.,NUTRIGLOW GBL LIFESCIENCES PVT. LTD.,nutriglowgbl
629,Octagon Foods LLP,Octagon Foods Private Limited,Octagon Foods Pvt Ltd,octagon
630,Octagon Foods LLP,Octagon Foods Private Limited,Octagon Foods Pvt Ltd,octagon
631,Okaya Power Private Limited,Okaya Power Private Limited,OKAYA POWER PVT LTD (ISD),okaya
632,Olam Agri India Private Limited,Olam Agri India Private Limited,Olam Agri,olamagri
633,Om Sree Marketing Solutions Private Limited,Om Sree Marketing Solutions Private Limited,Om Sree Marketing Solutions Private Limited,amrith-noni
634,Orion Nutritionals Private Limited,Orion Nutritionals Private Limited,Orion Nutritional Pvt. Ltd,orion
635,Orion Nutritionals Private Limited,Orion Nutritionals Private Limited,Orion Nutritional Pvt. Ltd,orion
636,Orrego Natural,Orrego Natural,,
637,Otrix Life Science LLP,Otrix Life Science LLP,,
638,OVO FARM PRIVATE LIMITED,OVO FARM PRIVATE LIMITED,OVOFARM PRIVATE LIMITED,ovofarm
639,Oxley Limited,Oxley Limited,Oxley Limited,oxley
640,MGH Logistics Asia PTE Ltd (Cambodia),MGH Logistics Asia PTE Ltd (Cambodia),MGH Cambodia,mhlkh
641,MGH Logistics Asia PTE Ltd.,MGH Logistics Asia PTE Ltd.,International Brands Limited,iblbd
642,Padmini Impex Pvt Ltd,Padmini Impex Pvt Ltd,Padmini Appliances,padmini
643,Pagariya Food Products Private Limited,Pagariya Food Products Private Limited,kwality,kwality
644,Pagariya Food Products Private Limited,Pagariya Food Products Private Limited,kwality,kwality
645,Pan Parag India Limited,Pan Parag India Limited,Pan Parag India Ltd,retail
646,PankajaKasthuri Herbals India Private Limited,Pankaja Kasthuri Herbals India Private Limited,Pankajakasthuri Herbals India (P) Ltd.,pankajakasthuri
647,Parag Milk Foods Limited,Parag Milk Foods Limited,Parag Milk Foods,paragmilkfoods
648,Parag Milk Foods Limited,Parag Milk Foods Limited,Parag Milk Foods.,parag-avvatar
649,Parag Milk Foods Limited,Parag Milk Foods Limited,parag milk foods,paragprotein
650,Parag Milk Foods Limited,Parag Milk Foods Limited,Parag Milk Foods,paragmilkfoods
651,Parag Milk Foods Limited,Parag Milk Foods Limited,gowardhanmilk,gowardhanmilk
652,Parag Milk Foods Limited,Parag Milk Foods Limited,Parag Fresh,paragfresh
653,Parisons Foods Private Limited,Parisons Foods Private Limited,Parisons Foods Pvt. Ltd,parisons
654,Parivar Healthcare Private Limited,Parivar Healthcare Private Limited,Parivar Health Care Pvt Ltd,parivarhealthcare
655,Parle Agro Private Limited,Parle Agro Private Limited,mtparleagro,mtparleagro
656,Parle Agro Private Limited,Parle Agro Private Limited,instiparleagro,instiparleagro
657,Parle Agro Private Limited,Parle Agro Private Limited,horecaparleagro,horecaparleagro
658,Parle Agro Private Limited,Parle Agro Private Limited,bailleyinterns,parleagrosummerinterns
659,Crystal Foods & Beverages (Amin Hasanali Karani),Crystal Foods & Beverages (Amin Hasanali Karani),Crystal Foods & Beverages,crystalfood
660,Rahul Jaiswal Food And Beverages LLP,Rahul Jaiswal Food And Beverages LLP,Oswal Industrial Complex,rahuljaiswalgroup
661,EPICU Agro Products Private Limited,EPICU Beverages Private Limited,EPICU AGRO PRODUCTS PVT. LTD.,epicuagro
662,Udayak Agro Products Private Limited,KL Beverages (Udayak Agro),KL Group,klgroup
663,Chandra Beverages Private Limited,Chandra Beverages Private Limited,Chandrabeverages,chandrabeverages
664,Ishwar Raj Beverages Private Limited,Ishwar Raj Beverages Private Limited,Ishwar Raj Beverages Pvt. Ltd.,irbeverages
665,Anmol Minerals Pvt Ltd,Anmol Minerals Pvt Ltd,Anmol Minerals,anmolminerals
666,Vivala Beverages Private Limited,Vivala Beverages Private Limited,Vivala Beverages Private Limited,vivala
667,Habitbev Private Limited,Habitbev Private Limited,HABITBEV PRIVATE LIMITED,habitbev
668,Dhiraj Agro Private Limited,Dhiraj Agro Private Limited,Dhiraj Agro Pvt Ltd,dhirajagro
669,Pulimoottil Foods And Beverages Private Limited,Pulimoottil Foods And Beverages Private Limited,PULIMOOTTIL FOODS AND BEVERAGES PRIVATE LIMITED,pulimoottil
670,M. B. Beverages (India) Limited,M. B. Beverages (India) Limited,M. B. BEVERAGES (INDIA) LIMITED,purembbeverages
671,Dugar Food & Beverage Private Limited,Dugar Food & Beverage Private Limited,Dugar Food and Beverage Pvt Ltd,tmdugargroup
672,EPICU Agro Products Private Limited,EPICU Beverages Private Limited,EPICU AGRO PRODUCTS PVT. LTD.,epicuagro
673,Parle Agro Private Limited,Parle Agro Private Limited,Parle Agro Pvt. Ltd.,parleagro
674,Sri Sai Beverages (Hemavathi Suresh),Sri Sai Beverages (Hemavathi Suresh),Sri Sai Beverages,srisaibeverages
675,Udayak Agro Products Private Limited,KL Beverages (Udayak Agro),KL Group,klgroup
676,Parmanand & Sons Food Products Private Limited.,Parmanand & Sons Food Products Private Limited,PARMANAND AND SONS FOOD PRODUCTS PVT.LTD,panproducts
677,Parmanand & Sons Food Products Private Limited.,Parmanand & Sons Food Products Private Limited,panbrand,panbrand
678,Pavizham Oil And Foods,Pavizham Oil And Foods,Pavizham Oil and Foods,pavizhamoil
679,Payal Dealers Private Limited,Payal Dealers Private Limited,Payal Dealers Pvt ltd,payalsales
680,PBI India Private Limited (Nav Bharat Flour Mills),PBI India Private Limited (Nav Bharat Flour Mills),Nav Bharat Flour Mills,pmark
681,Shri Durga Devi Agency (Nectar),Shri Sai Samarth Agencies (Nectar),Shri Durgadevi Agency,nectarbeverages
682,Shri Durga Devi Agency (Nectar),Shri Sai Samarth Agencies (Nectar),Shri Durgadevi Agency,nectarbeverages
683,Philips India Limited (Respironics),Philips India Limited,Philips Respironics,philipssrc
684,Philips India Limited (PH),Philips India Limited,Philips India Limited,philipsgalaxy
685,Philips India Limited (PH),Philips India Limited,Philips Domestic Appliances.,philipsda
686,Philips India Limited (PH),Philips India Limited,Philips Domestic Appliances.,philipsda
687,Philips India Limited (PH),Philips India Limited,Philipsgalaxy Test1,philipsgalaxytest
688,PT Philips Indonesia Commercial,PT Philips Indonesia Commercial,PT Philips Indonesia Commercial,philipsindo
689,Philips India Limited (Respironics),Philips India Limited,Philips Respironics,philipssrc
690,Pipit Sips N Eats LLP,Pipit Sips N Eats LLP,,
691,Piramal Pharma Limited,Piramal Pharma Limited,Piramal Enterprises,piramal-dhanush
692,Piramal Pharma Limited,Piramal Pharma Limited,Piramal Enterprises_Chakra,piramal-chakra
693,Piramal Pharma Limited,Piramal Pharma Limited,Piramal Enterprises_ecomm,piramal-ecom
694,Piramal Pharma Limited,Piramal Pharma Limited,Piramal Enterprises_Trishul-Shakti,piramal-shakit-trishul
695,Piramal Pharma Limited,Piramal Pharma Limited,Piramal-dms,piramal-dms
696,Piramal Pharma Limited,Piramal Pharma Limited,Piramal Enterprises Ltd,demopiramal
697,Piramal Pharma Limited,Piramal Pharma Limited,Piramal Enterprises,piramal-dhanush
698,Plaza Wires Private Limited,Plaza Wires Private Limited,plazawires,plazawires
699,Plaza Wires Private Limited,Plaza Wires Private Limited,plazawires,plazawires
700,Polycab India Limited,Polycab India Limited,Polycab India Ltd,polycab
701,Polycab India Limited,Polycab India Limited,Polycab India.,polycabei
702,Pon Pure Chemical India Private Limited,Pon Pure Chemical India Private Limited,Pon Pure Chemical India Pvt Ltd,viserpromoters
703,Pon Pure Chemical India Private Limited,Pon Pure Chemical India Private Limited,Pon Pure Chemical India Private Limited,viser
704,Popular Marketing Company,Popular Marketing Company,Popular,popular
705,Popup Beverages Private Limited,Popup Beverages Private Limited,Popup Beverages Private Limited,popupbeverages
706,Pramukh Industries,Pramukh Industries,Pramukh Industries (Sorvet Icecream),sorvet
707,Prayagh Nutri Products Private Limited,Prayagh Nutri Products Private Limited,Prayagh Consumer Care Private Limited,prayagh
708,Prayagh Nutri Products Private Limited,Prayagh Nutri Products Private Limited,Prayagh Consumer Care Private Limited,prayagh
709,Premier Alcobev Private Limited,Premier Alcobev Private Limited,Premier Alcobev Private Limited,paplgroup
710,Premier Tissues India Limited,Premier Tissues India Limited,Premier Tissues India Ltd,premiertissues
711,Premium Soap And Detergent Industry LLP,Premium Soap And Detergent Industry LLP,Premium Soap and Detergent Industry LLP,premiumsoap
712,Pringle Homeware Private Limited,Pringle Homeware Private Limited,pringle,pringle
713,Pristine Ingredients Private Limited,Pristine Ingredients Private Limited,PRISTINE INGREDIENTS,pipli
714,Pro Body Balance Private Limited (Pittie Group),Shubhkart India Private Limited (Pro Body),Pro Body Balance Private Limited,sk-ck-mt
715,Pro Body Balance Private Limited (Pittie Group),Shubhkart India Private Limited (Pro Body),Pro Balance Private Limited,sk-ck-gt
716,Pro Body Balance Private Limited (Pittie Group),Shubhkart India Private Limited (Pro Body),Pro Balance Private Limited-2,pcpl-chd
717,Pro Body Balance Private Limited (Pittie Group),Shubhkart India Private Limited (Pro Body),Pro Body Balance Private Limited,sk-ck-mt
718,Pro Body Balance Private Limited (Pittie Group),Shubhkart India Private Limited (Pro Body),Pro Body Balance Private Limited,sk-ck-mt
719,Pro Nature Organic Foods Private Limited,Pro Nature Organic Foods Private Limited,"Pro Nature Organic Foods Private Limited,",pronature
720,Pro Nature Organic Foods Private Limited,Pro Nature Organic Foods Private Limited,Pro Nature,pnopromoter
721,Protech Appliances Private Limited,Protech Appliances Private Limited,mrbutler,mrbutler
722,Protronics Distributors LLP,Protronics Distributors LLP,PROTRONICS DISTRIBUTORS LLP,protronics
723,PT Dewa Tunggal Abadi,PT Dewa Tunggal Abadi,PT Dewa Tunggal Abadi,dewatunggalabadi
724,PT Perfetti Van Melle Indonesia,PT Perfetti Van Melle Indonesia,PT Perfetti Van Melle Indonesia,pvmindonesia
725,PT YOU Indonesia,PT YOU Indonesia,PT YOU Indonesia,youvit
726,PT. Inovasi Pangan Nusantara,PT. Inovasi Pangan Nusantara,PT. Inovasi Pangan Nusantara,barefood
727,PT. Jiva Agriculture Indonesia,PT. Jiva Agriculture Indonesia,jivasales,jivasales
728,PT. Santosa Utama Lestari,PT. Santosa Utama Lestari,vasham,vasham
729,Puramate India Private Limited,Puramate India Private Limited,PURAMATE INDIA PRIVATE LIMITED,puramate
730,Solar Sales (India),Puranchand Jain & Sons Private Limited,solarsales,solarsales
731,Solar Sales (India),Puranchand Jain & Sons Private Limited,solarsales,solarsales
732,Pureplay Skin Sciences (India) Private Limited,Pureplay Skin Sciences (India) Private Limited,pureplay - DMS,pureplaydms
733,Pureplay Skin Sciences (India) Private Limited,Pureplay Skin Sciences (India) Private Limited,Pureplay,pureplay
734,Quadrant Consumer Products LLP,Quadrant Consumer Products LLP,Quadrant,quadrant
735,Qunova Technologies Private Limited,Qunova Technologies Private Limited,Bizzplus,bizzplus
736,R For Rabbit Baby Products Private Limited,R For Rabbit Baby Products Private Limited,rforrabbit,rforrabbit
737,R For Rabbit Baby Products Private Limited,R For Rabbit Baby Products Private Limited,R FOR RABBIT BABY PRODUCTS PRIVATE LIMITED,playpiper
738,R L Corp India (Pawan Kumar Choudhary).,R L Corp India (Pawan Kumar Choudhary),R L Corp India,rlcorp
739,R L Corp India (Pawan Kumar Choudhary).,R L Corp India (Pawan Kumar Choudhary).,R L Corp India,rlcorp
740,Raavis Beverages Private Limited,Raavis Beverages Private Limited,Raavis Beverages,raavisbeverages
741,Rahul Group,Rahul Group,Rahul Group,rgsales
742,Rama Pashu Aahar Pvt Ltd,Rama Pashu Aahar Pvt Ltd,RamaPashuAhar,ramapashuahar
743,Ramani Icecream Company Limited,Ramani Icecream Company Limited,Ramani Ice Creams Company Limited,topntown
744,Ramani Icecream Company Limited,Ramani Icecream Company Limited,Ramani Icecream Co. Ltd- Bakery,topntownbakers
745,Ramani Icecream Company Limited,Ramani Icecream Company Limited,Ramani Icecream Co. Ltd- Bakery,topntownbakers
746,Ramani Super Grain LLP,Ramani Super Grain LLP,Ramani Super Grain LLP,ramanisupergrainllp
747,Ramdev Food Products Private Limited,Ramdev Food Products Private Limited,ramdevsnacks,ramdevsnacks
748,Ramdev Food Products Private Limited,Ramdev Food Products Private Limited,RAMDEV FOOD PRODUCTS PVT. LTD.,ramdevspicesip
749,Ramdev Food Products Private Limited,Ramdev Food Products Private Limited,Ramdev Food Products Private Limited,ramdevspices
750,Ramdev Food Products Private Limited,Ramdev Food Products Private Limited,Ramdev Food Products Private Limited,ramdevspices
751,Ravi Foods Private Limited,Ravi Foods Private Limited,Ravi Foods Pvt Ltd - CSD,dukesindiacsd
752,Ravi Foods Private Limited,Ravi Foods Private Limited,Ravi Foods Pvt. Ltd - IND,dukesindiaind
753,Dukes Products (India) Limited (Micks Foods),SWG Industries Limited,SWG Industries Limited,sweetworld
754,Ravi Foods Private Limited,Ravi Foods Private Limited,Dukes India - GT,dukesindia
755,Ravi Foods Private Limited,Ravi Foods Private Limited,Ravi Foods Pvt. Ltd - MT,dukesindiamt
756,Raychem RPG Private Limited,Raychem RPG Private Limited,Raychem RPG Pvt. Ltd.,raychemrpg
757,JK Files & Engineering Limited,JK Files & Engineering Limited,JK Maini Precision Technology Limited,jkfiles
758,Raymond Consumer Care Limited (JKHCL & JK Ansell),Raymond Consumer Care Limited (JKHCL & JK Ansell),J.K. Helene Curtis Limited,jkhcl
759,Raymond Consumer Care Limited (JKHCL & JK Ansell),Raymond Consumer Care Limited (JKHCL & JK Ansell),J.K. Helene Curtis Limited,jkhcl
760,Raymond Consumer Care Limited (JKHCL & JK Ansell),Raymond Consumer Care Limited (JKHCL & JK Ansell),J.K. Helene Curtis Limited,jkhcl
761,Raymond Consumer Care Limited (JKHCL & JK Ansell),Raymond Consumer Care Limited (JKHCL & JK Ansell),Raymond Consumer Care Pvt Ltd,jkansell
762,JK Files & Engineering Limited,JK Files & Engineering Limited,JK Maini Precision Technology Limited,jkfiles
763,Reckitt Benckiser (Bangladesh) Ltd,Reckitt Benckiser (Bangladesh) Ltd,RB Bangladesh,rbbangladesh
764,Reckitt Benckiser (India) Private Limited,Reckitt Benckiser (India) Private Limited,Reckit Benckiser India Pvt Ltd,rbindia
765,Reckitt Benckiser Arabia FZE-HC,Reckitt Benckiser Arabia FZE-HC,RB Egypt,rbegypt
766,Reckitt Benckiser Arabia FZE-HC,Reckitt Benckiser Arabia FZE-HC,RB Egypt,rbegypt
767,Reckitt Benckiser Arabia FZE-HC,Reckitt Benckiser Arabia FZE-HC,RB Egypt,rbegypt
768,Redcliffe Hygiene Private Limited,Redcliffe Hygiene Private Limited,Redcliffe Hygiene Private Limited,peesafe
769,Remsons Industries Ltd,Remsons Industries Ltd,Remsons Industries Limited,remsonsafm
770,Risshta Foods Private Limited,Risshta Foods Private Limited,Risshta Foods,risshtafoods
771,Rolling Pin Gourmet Private Limited,Rolling Pin Gourmet Private Limited,Sen Group,senindia
772,Rossari Biotech Limited,Rossari Biotech Limited,Rossari Biotech Limited,sfarossari
773,Royal Canin India Private Limited,Royal Canin India Private Limited,Royal Canin,royalcanin
774,RS Square Marketing Private Limited,Spark International (RS Square),RS Square Marketing Pvt Ltd,spark
775,RS Square Marketing Private Limited,Spark International (RS Square),RS Square Marketing Pvt Ltd,spark
776,NIF Private Limited (Namaste India),NIF Private Limited (Namaste India),NIF Private Limited,nifpl
777,NIF Private Limited (Namaste India),NIF Private Limited (Namaste India),Namaste india pvt. Ltd,fnifpl
778,NIF Private Limited (Namaste India),NIF Private Limited (Namaste India),Leayan Global Pvt,leayan1
779,NIF Private Limited (Namaste India),NIF Private Limited (Namaste India),Leayan Global Pvt. Ltd.,leayan
780,S L K Food Processing,S L K Food Processing,S L K FOOD PROCESSING,slkfoods
781,S P POLYMERS,S P POLYMERS,SP POLYMERS,sphomes
782,S.G. Nepal Pvt Ltd,S.G. Nepal Pvt Ltd,S. G. Nepal Pvt. Ltd.,sgnepal
783,Safa Al Jazeera General Trading Co.,Safa Al Jazeera General Trading Co.,Safa Al Jazeera General Trading Co.,safa-global
784,Safari Industries India Limited,Safari Industries India Limited,Safari Industries (India) Ltd.,safari
785,Sahakar Maharshi Shankarrao Kolhe Sahakari Sakhar Karkhana Limited,Sahakar Maharshi Shankarrao Kolhe Sahakari Sakhar Karkhana Limited,Sahakar Maharshi Shankarrao Kolhe Sahakari Sakhar Karkhana ltd,sanjivaniliquor
786,Sahuwala Flour Mills,Sahuwala Flour Mills,Saahuwala Flour Mills,sahuwalaflourmills
787,Said Salim Bakhresa & Co. Ltd,Said Salim Bakhresa & Co. Ltd,Said Salim Bakhresa & Company Ltd.,bakhresa
788,Saksham Impex Private Limited,Saksham Impex Private Limited,saksham,saksham
789,Sales Walk & Co,Sales Walk & Co,Sales Walk & Co,lifecarehll
790,Samyog Health Foods Private Limited,Samyog Health Foods Private Limited,Samyog Health Foods Private Limited,samyog
791,Sanghvi Foods Private Limited,Sanghvi Foods Private Limited,SANGHVI FOODS PVT. LTD.,silvercoin
792,Sankethi Nutriments Private Limited,Sankethi Nutriments Private Limited,SANKETHI NUTRIMENTS PRIVATE LIMITED,adukale
793,Santhoshimathaa Edible Oils Refinery Private Limited,Santhoshimathaa Edible Oils Refinery Private Limited,SANTHOSHIMATHAA EDIBLE OILS REFINERY PRIVATE LIMITED,smoils
794,Sanwariya Foods and Snacks Pvt. Ltd.,Sanwariya Foods and Snacks Pvt. Ltd.,Sanwariya Foods and Snacks Pvt. Ltd,bikanonp
795,Sapat & Company (Bombay) Private Limited,Sapat International Private Limited,sapat,sapat
796,Sapat & Company (Bombay) Private Limited,Sapat Global Health Private Limited,sapat,sapat
797,Sapat & Company (Bombay) Private Limited,Sapat Global Health Private Limited,sapat,sapat
798,Livpure private limited,Livpure Private Limited,Livpure Private Limited,livpure
799,Livpure private limited,Livpure Private Limited,Livpure Private Limited,livpureservice
800,Saraiwwalaa Agrr Refineries Limited,Swaad Foods (Saraiwwalaa),SWAAD FOODS,spp
801,Saraiwwalaa Agrr Refineries Limited,Swaad Foods (Saraiwwalaa),SARL,sarl
802,Saraiwwalaa Agrr Refineries Limited,Swaad Foods (Saraiwwalaa),SARL,sarl
803,Satiscomm (India) Private Limited,SatisComm (India) Private Limited,SatisComm (India) Private Limited,satiscomm
804,Sellpro Commerce Private Limited,Sellpro Commerce Private Limited,SELLPRO COMMERCE PRIVATE LIMITED,ministryofnuts
805,Selzer Innovex Private Limited,Selzer Innovex Private Limited,selzer,selzer
806,Servosonic Lifestyle Private Limited,Servosonic Lifestyle Private Limited,Servosonic Lifestyle Private Limited,klamy
807,Sesa Care Private Limited,Sesa Care Private Limited,sesa care private limited,sesacare
808,Sesa Care Private Limited,Sesa Care Private Limited,Sesa Care Private Limited (DMS),sesacaredms
809,Shalimar Incense Private Limited,Shalimar Incense Private Limited,SHALIMAR INCENSE PRIVATE LIMITED,siplb
810,Shantinath Detergents Pvt Ltd (Safechem),Shantinath Detergents Pvt Ltd (Safechem),Shantinath Detergents Pvt. Ltd.,safed
811,Shantinath Detergents Pvt Ltd (Safechem),Shantinath Detergents Pvt Ltd (Safechem),Shantinath Detergents Pvt. Ltd.,safed
812,Shell International Petroleum Company Limited (Malaysia),Shell International Petroleum Company Limited (Vietnam),Shell-Vietnam,vnshell
813,Shell International Petroleum Company Limited (Malaysia),Shell International Petroleum Company Limited (Malaysia),KHYUNSHEN001,shellmy
